Team Name 2024 Season,TeamID,New Name 2025
Angel City FC,01,
Bay FC,02,
Chicago Red Stars,03,Chicago Stars FC
Houston Dash,04,
Kansas City Current,05,
NJ/NY Gotham FC,06,Gotham FC
North Carolina Courage,07,
Seattle Reign FC,08,Seattle Reign
Orlando Pride,09,
Portland Thorns FC,10,
Racing Louisville FC,11,
San Diego Wave FC,12,
Utah Royals FC,13,
Washington Spirit,14,
