MatchID,SeasonMatchNumber,TeamName,Date_of_Match,Opponent,HomeOrAway,Outcome,GoalsFor,GoalsAgainst,Assists,MatchLength,FirstHalfLength,SecondHalfLength,Formation,Starters,Substitutes,Captains,CurrentStanding,PossessionPercent,ShotsFor,ShotsAgainst,ShotsOnGoal,ShotsOnGoalAgainst,BlockedShots,TotalPasses,PassingAccuracyPercentage,CornersFor,CornersAgainst,CrossesFor,CrossesAgainst,DualsWon,Saves,Clearances,FoulsPerpetrated,FoulsAgainst,YellowCardsRecieved,RedCardsRecieved,OwnGoals,ThrowInsFor,GoalsInMatchFor,GoalsInMatchAgainst,PKTime,PKsPlayers,PKScored,DirectionFor,HeightFor,OnWWOutFor,TouchedFor,DirectionAgainst,HeightAgainst,OnWWOutAgainst,TouchedAgainst
ccdd,,As seen on Team ID sheet,ddmmyyyy,TeamID,home or away,"W, L, or D",xx,xx,xx,mmmss,mmss,mmss,x-x-x-x...,"""pp, pp, pp...""","""iioohmmm, ...""","""pp, pp ...""",xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,"""ppaahmmmss, ppaahmmss""","""kkhmmmss""","""hmmmss, hmmmss""","""Spp or Kpp, ...""","""Y or N or R""","""R or L or C or NA""","""L or M or H or NA""","""On or WW or Off or NA""","""Y or N or NA""","""R or L or C or NA""","""L or M or H or NA""","""On or WW or Off or NA""","""Y or N or NA"""
1001,001,Portland Thorns,16032024,05,Away,L,04,05,03,10256,5037,5219,4-3-3,"""18, 11, 20, 05, 23, 21, 17, 13, 12, 09, 22""","""16122046, 08132062, 24092075, 54172075, 02112075""","""12, 17, 20""",XX,53,19,18,11,11,03,344,78,06,04,16,12,46,02,16,10,07,02,XX,XX,24,"""0921104218, 1605207003, 09XX207232, 1623209059""","""18102151, 18102445, 18103352, 18206345, 18206741""",XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
0615,104,Gotham FC,30062024,08,Home,D,01,01,01,10338,4901,5437,4-1-4-1,"""30, 02, 15, 06, 22, 77, 28, 17, 16, 19, 13""","""14772046, 06282076, 07162085, 03192085, 08132094""",15,04,53,15,08,10,05,05,363,80,08,03,18,12,44,04,08,07,11,XX,XX,01,20,"""1613204629""","""30209839""",XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
0815,104,Seattle Reign,30062024,06,Away,D,01,01,XX,10338,4901,5437,4-2-3-1,"""01, 11, 04, 21, 25, 05, 10, 23, 91, 09, 08""","""17212060, 24232066, 33102067, 12252086, 47092086""","""10, 11""",13,47,08,15,05,10,02,314,79,03,08,12,18,49,04,31,11,07,01,XX,XX,23,"""OG14209839""","""01204629""",XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
1420,139,Washington Spirit,15092024,04,Home,W,03,XX,01,10908,5903,5005,4-2-3-1,"""01, 03, 24, 09, 14, 17, 12, 02, 10, 13, 33""","""04102064, 22122064, 08022069, 16172069, 26032074""","""01""",02,58,17,06,08,02,02,444,88,03,03,16,10,35,02,10,11,07,XX,XX,XX,20,"""33XX100647, 3302102536, 02XX204532""",XX,100647,S33,Y,L,M,On,N,NA,NA,NA,NA
0420,139,Houston Dash,15092024,14,Away,L,XX,03,XX,10908,5903,5005,3-4-2-1,"""01, 33, 07, 02, 30, 31, 17, 11, 10, 09, 14""","""06022046, 15142064, 19102064, 21302075, 22072094""","""01""",14,42,06,17,02,08,01,293,80,03,03,10,16,38,05,18,07,11,01,XX,XX,15,XX,"""01100647, 01102536, 01204532""",100647,K01,Y,NA,NA,NA,NA,L,M,On,N
0119,127,Angel City FC,06092024,08,Home,L,02,03,02,11719,5747,5932,4-2-3-1,"""13, 16, 11, 06, 03, 04, 08, 21, 07, 10, 02""","""23102071, 06112071, 99042071, 24032082""",11,09,62,12,12,07,07,03,454,83,08,05,19,20,40,04,13,09,09,01,XX,XX,20,"""2102100719, 0216209830""","""13103057, 13105016, 13205802""",103057,K13,Y,NA,NA,NA,NA,R,L,On,N
0819,127,Seattle Reign,06092024,01,Away,W,03,02,01,11719,5747,5932,4-2-2-2,"""01, 11, 13, 21, 25, 05, 91, 34, 23, 10, 09""","""08101017, 24092071, 03252071, 16912092, 30232092""",11,12,38,12,12,07,07,03,228,71,05,08,20,19,46,05,31,09,09,01,XX,XX,10,"""11XX103057, 91XX106016, 2334205802""","""01100719, 01209830""",103057,S11,Y,R,L,On,N,NA,NA,NA,NA
1125,171,Louisville Racing ,19102024,10,Home,W,01,XX,01,09920,4705,5215,4-2-3-1,"""01, 11, 20, 03, 02, 14, 26, 16, 07, 88, 13""","""09072071, 08142084, 17162090""",20,09,46,05,14,04,06,XX,369,81,02,02,17,08,49,06,12,13,16,01,XX,XX,19,"""2616208758""",XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
1025,171,Portland Thorns,19102024,11,Away,L,XX,01,XX,09920,4705,5215,4-3-3,"""18, 11, 05, 04, 02, 21, 12, 17, 24, 13, 15""","""09152062, 66122062, 22242071, ","""12, 04""",07,54,14,05,06,04,02,450,83,02,02,08,17,30,03,14,16,13,02,XX,XX,25,XX,"""18208758""",XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
0326,181,Chicago Redstar FC,03112024,05,Home,L,01,03,01,09518,4703,4815,4-2-3-1,"""01, 12, 41, 04, 32, 21, 20, 10, 09, 30, 34""","""11122046, 08092046, 13342074, 33212081, 24102081""","""01""",06,55,14,14,04,06,06,440,84,05,06,18,13,35,03,21,07,07,XX,XX,XX,22,"""3410205122""","""01102237, 0112522, 01103227""",XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
